Name,item,amount,unit,cost/unit,total cost,weight ratio,Notes,Combination 1,C1 Ratio,C1 Amount,,,,,,,,,,,,,,,Name,ingredient,weight,,,measurement,price per kilogram,brewing cost,notes,:Brew Archive,,Notes,,
2022-07-17 Blend,Nettle Leaf,35,grams,$0.08,$2.80,2.45%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-17 Blend,Cloves,11,grams,$0.09,$0.96,0.77%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-17 Blend,Dried Farm Ginger,139,grams,$0.06,$8.34,9.75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220717GingerBrew,Rain Water,848,grams,$0.00,$0.00,93.65%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220717GingerBrew,Farm Ginger,39,grams,$0.02,$0.59,4.31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220717GingerBrew,Dried Farm Soursop Leaves,2.3,grams,$0.30,$0.69,0.25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220717GingerBrew,Black tea,16.2,grams,$0.30,$4.86,1.79%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-17 Blend Large Glass Container,2022-07-17 Blend,600,grams,$0.08,$45.15,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-17 Blend Lemon Lime Glass Container,2022-07-17 Blend,500,grams,$0.08,$37.62,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-17 Blend $3 Rubber Seal Glass Container,2022-07-17 Blend,305,grams,$0.08,$22.95,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-17 Blend BigW $1 Glass Container,2022-07-17 Blend,50,grams,$0.08,$3.76,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-08 brew,2022-07-17 Blend,49.2,grams,$0.08,$3.70,2.39%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-08 brew,lemon myrtle,4.1,grams,$0.40,$1.64,0.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
